"Name"	"Source"	"Page"	"School"	"Class/Level"	"Range"	"T/E/A"
"winter chill"	"SpC"	241	"transmutation [cold]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"beast claws"	"SpC"	25	"transmutation"	"druid 1"	"personal"	"target"
"animate water"	"SpC"	13	"transmutation [water]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"beget bogun"	"SpC"	26	"conjuration (creation)"	"druid 1"	"touch"	"effect"
"sandblast"	"SpC"	180	"evocation"	"druid 1"	"10 ft."	"area"
"shillelagh"	"PH"	278	"transmutation"	"druid 1"	"touch"	"target"
"cloudburst"	"SpC"	49	"evocation [water]"	"druid 1"	"long (400 ft. + 40 ft./level)"	"area"
"buoyant lifting"	"SpC"	40	"evocation"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"animate fire"	"SpC"	12	"transmutation [fire]"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"target"
"breath of the jungle"	"SpC"	39	"transmutation"	"druid 1"	"medium (100 ft. + 10 ft./level)"	"effect"
"wood wose"	"SpC"	242	"conjuration (creation)"	"druid 1"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"animate wood"	"SpC"	13	"transmutation"	"druid 1"	"touch"	"target"
"cloud wings"	"SpC"	49	"transmutation"	"druid 2"	"touch"	"target"
"blinding spittle"	"SpC"	32	"transmutation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"saltray"	"SpC"	179	"evocation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"master air"	"SpC"	139	"transmutation"	"druid 2"	"personal"	"target"
"countermoon"	"SpC"	53	"abjuration"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"share husk"	"SpC"	187	"divination"	"druid 2"	"touch"	"target"
"creeping cold"	"SpC"	55	"transmutation [cold]"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"earthfast"	"SpC"	76	"transmutation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"area"
"tiger's tooth"	"SpC"	221	"transmutation"	"druid 2"	"touch"	"target"
"healing sting"	"SpC"	110	"necromancy"	"druid 2"	"touch"	"target"
"winter's embrace"	"SpC"	241	"evocation [cold]"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"flame blade"	"PH"	231	"evocation [fire]"	"druid 2"	"0 ft."	"effect"
"warp wood"	"PH"	300	"transmutation"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"kelpstrand"	"SpC"	128	"conjuration (creation)"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"target"
"decomposition"	"SpC"	61	"necromancy"	"druid 2"	"50 ft."	"area"
"blood frenzy"	"SpC"	33	"transmutation"	"druid 2"	"touch"	"target"
"splinterbolt"	"SpC"	203	"conjuration (creation)"	"druid 2"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"crumble"	"SpC"	56	"transmutation"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"target"
"quillfire"	"SpC"	164	"transmutation"	"druid 3"	"personal"	"target"
"thornskin"	"SpC"	219	"transmutation"	"druid 3"	"personal"	"target"
"nature's balance"	"SpC"	145	"transmutation"	"druid 3"	"touch"	"target"
"spiritjaws"	"SpC"	202	"evocation [force]"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"effect"
"dehydrate"	"SpC"	62	"necromancy"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"target"
"heatstroke"	"SpC"	113	"transmutation"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"target"
"standing wave"	"SpC"	204	"transmutation"	"druid 3"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"infestation of maggots"	"SpC"	123	"necromancy"	"druid 3"	"touch"	"target"
"quench"	"PH"	267	"transmutation"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"area or target"
"weather eye "	"SpC"	238	"divination"	"druid 3"	"1 mile + 1 mile/level"	"area"
"thunderous roar"	"SpC"	220	"evocation [sonic]"	"druid 3"	"long (400 ft. + 40 ft./level)"	"area"
"fire wings"	"SpC"	93	"transmutation [fire]"	"druid 3"	"personal"	"target"
"vine mine"	"SpC"	230	"conjuration (creation)"	"druid 3"	"medium (100 ft. + 10 ft./level)"	"area"
"jaws of the wolf"	"SpC"	127	"transmutation"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"contagious touch"	"SpC"	52	"necromancy"	"druid 4"	"touch"	"target"
"languor"	"SpC"	130	"transmutation"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"summon elementite swarm"	"SpC"	214	"conjuration (summoning) [see text]"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"eye of the hurricane"	"SpC"	86	"abjuration [air]"	"druid 4"	"40 ft."	"area"
"wind at back"	"SpC"	239	"evocation"	"druid 4"	"medium (100 ft. + 10 ft./level)"	"target"
"creeping cold, greater"	"SpC"	56	"transmutation [cold]"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"target"
"starvation"	"SpC"	206	"transmutation"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"target"
"last breath"	"SpC"	130	"transmutation"	"druid 4"	"touch"	"target"
"essence of the raptor"	"SpC"	84	"transmutation"	"druid 4"	"personal"	"target"
"swim, mass"	"SpC"	217	"transmutation [water]"	"druid 4"	"medium (100 ft. + 10 ft./level)"	"target"
"enhance wild shape"	"SpC"	82	"transmutation"	"druid 4"	"personal"	"target"
"poison vines"	"SpC"	160	"conjuration (creation)"	"druid 4"		
"murderous mist"	"SpC"	145	"conjuration (creation)"	"druid 4"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"rushing waters"	"SpC"	178	"conjuration (creation) [water]"	"druid 4"	"medium (100 ft. + 10 ft./level)"	"area"
"wood rot"	"SpC"	241	"transmutation"	"druid 4"	"touch"	"target"
"antiplant shell"	"PH"	200	"abjuration"	"druid 4"	"10 ft."	"area"
"sudden stalagmite"	"SpC"	213	"conjuration (creation) [earth]"	"druid 4"	"medium (100 ft. + 10 ft./level)"	"target"
"rejuvenation cocoon"	"SpC"	172	"conjuration (healing)"	"druid 5"	"touch"	"target"
"phantom stag"	"SpC"	157	"conjuration (creation)"	"druid 5"	"0 ft."	"effect"
"dire hunger"	"SpC"	65	"transmutation"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"target"
"wind tunnel"	"SpC"	239	"evocation"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"target"
"inferno"	"SpC"	123	"transmutation [fire]"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"target"
"echo skull"	"SpC"	77	"divination"	"druid 5"	"touch"	"target"
"owl's insight"	"SpC"	152	"transmutation"	"druid 5"	"touch"	"target"
"summon nature's ally V"	"PH"	289	"conjuration (summoning) [see text]"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"fireward"	"SpC"	94	"transmutation"	"druid 5"	"medium (100 ft. + 10 ft./level)"	"area"
"call lightning storm"	"PH"	207	"evocation [electricity]"	"druid 5"	"long (400 ft. + 40 ft./level)"	"effect"
"quill blast"	"SpC"	164	"conjuration (creation)"	"druid 5"	"20 ft."	"area"
"plant body"	"SpC"	159	"transmutation"	"druid 5"	"personal"	"target"
"awaken"	"PH"	202	"transmutation"	"druid 5"	"touch"	"target"
"poison thorns"	"SpC"	159	"transmutation"	"druid 5"	"personal"	"target"
"memory rot"	"SpC"	140	"evocation"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"target"
"jungle's rapture"	"SpC"	128	"transmutation"	"druid 5"	"close (25 ft. + 5 ft./2 levels)"	"target"
"freeze"	"SpC"	99	"conjuration (creation) [cold]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"effect"
"spellstaff"	"PH"	282	"transmutation"	"druid 6"	"touch"	"target"
"summon nature's ally VI"	"PH"	289	"conjuration (summoning) [see text]"	"druid 6"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"enveloping cocoon"	"SpC"	83	"evocation [force]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"effect"
"tortoise shell"	"SpC"	221	"transmutation"	"druid 6"	"touch"	"target"
"transport via plants"	"PH"	295	"transmutation"	"druid 6"	"unlimited"	"target"
"drown"	"SpC"	74	"conjuration (creation) [water]"	"druid 6"	"close (25 ft. + 5 ft./2 levels)"	"target"
"miasma"	"SpC"	141	"evocation"	"druid 6"	"close (25 ft. + 5 ft./2 levels)"	"target"
"ironwood"	"PH"	246	"transmutation"	"druid 6"	"0 ft."	"effect"
"stonehold"	"SpC"	209	"conjuration (creation) [earth]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"area"
"blood sirocco"	"SpC"	33	"evocation"	"druid 6"	"60 ft."	"effect"
"dinosaur stampede"	"SpC"	64	"evocation [force]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"area"
"hungry gizzard"	"SpC"	117	"conjuration (creation)"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"target"
"tidal surge"	"SpC"	220	"evocation [water]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"target"
"phantasmal disorientation"	"SpC"	155	"illusion (phantasm) [mind-affecting]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"target"
"summon greater elemental"	"SpC"	214	"conjuration (summoning) [see text]"	"druid 6"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"animate snow"	"SpC"	12	"transmutation [cold]"	"druid 6"	"medium (100 ft. + 10 ft./level)"	"target"
"anger of the noonday sun"	"SpC"	11	"evocation [light]"	"druid 6"	"20 feet"	"area"
"aura of vitality"	"SpC"	18	"transmutation"	"druid 7"	"close (25 ft. + 5 ft./2 levels)"	"target"
"swamp lung"	"SpC"	216	"conjuration (creation)"	"druid 7"	"medium (100 ft. + 10 ft./level)"	"target"
"summon nature's ally VII"	"PH"	289	"conjuration (summoning) [see text]"	"druid 7"	"close (25 ft. + 5 ft./2 levels)"	"effect"
"storm of elemental fury"	"SpC"	209	"conjuration (summoning)"	"druid 7"	"long (400 ft. + 40 ft./level)"	"effect"
"changestaff"	"PH"	208	"transmutation"	"druid 7"	"touch"	"target"
"storm tower"	"SpC"	210	"abjuration [air]"	"druid 7"	"long (400 ft. + 40 ft./level)"	"area"
"master earth"	"SpC"	139	"transmutation"	"druid 7"	"personal"	"target"
"bombardment"	"SpC"	37	"conjuration (creation)"	"druid 8"	"long (400 ft. + 40 ft./level)"	"area"
"phantom wolf"	"SpC"	157	"conjuration (summoning)"	"druid 8"	"medium (100 ft. + 10 ft./level)"	"effect"
"deadfall"	"SpC"	59	"conjuration (creation)"	"druid 8"	"long (400 ft. + 40 ft./level)"	"effect"
"cocoon"	"SpC"	49	"conjuration (creation)"	"druid 8"	"close (25 ft. + 5 ft./2 levels)"	"target"
"unyielding roots"	"SpC"	228	"transmutation"	"druid 8"	"touch"	"target"
"awaken, mass"	"SpC"	21	"transmutation"	"druid 8"	"medium (100 ft. + 10 ft./level)"	"target"
"red tide"	"SpC"	170	"evocation [water]"	"druid 8"	"medium (100 ft. + 10 ft./level)"	"area"
"drown, mass"	"SpC"	74	"conjuration (creation) [water]"	"druid 9"	"close (25 ft. + 5 ft./2 levels)"	"target"
"phantom bear"	"SpC"	155	"conjuration (summoning)"	"druid 9"	"medium (100 ft. + 10 ft./level)"	"effect"
"cast in stone"	"SpC"	43	"transmutation"	"druid 9"	"personal"	"target"
"nature's avatar"	"SpC"	145	"transmutation"	"druid 9"	"touch"	"target"
"tsunami"	"SpC"	224	"conjuration (creation) [water]"	"druid 9"	"long (400 ft. + 40 ft./level)"	"effect"
"shadow landscape"	"SpC"	184	"illusion (shadow)"	"druid 9"	"long (400 ft. + 40 ft./level)"	"area"
